"<ID|readonly|
noverify>";"<English>";

"er-2_m105r_lu2b_shop";"Yer-2 LU-MV-2B";;
"er-2_m105r_lu2b_0";"OKB-240 ""Yermolaev"" | Yer-2 LU-MV-2B | 1941 Model";;
"er-2_m105r_lu2b_1";"Yer-2 LU-MV-2B";;
"er-2_m105r_lu2b_2";"Yer-2 LU-MV-2B";;

"er-2_m105_mv3_shop";"Yer-2 MV-3";;
"er-2_m105_mv3_0";"OKB-240 ""Yermolaev"" | Yer-2 MV-3 | 1940 Model";;
"er-2_m105_mv3_1";"Yer-2 MV-3";;
"er-2_m105_mv3_2";"Yer-2 MV-3";;

"pe-2-31_shop";"Pe-2-31 Peshka";;
"pe-2-31_0";"NKVD Central Design Bureau №29 | Pe-2-31 Peshka";;
"pe-2-31_1";"Pe-2-31 Peshka";;
"pe-2-31_2";"Pe-2-31";;

"pe-2-83_shop";"Pe-2-83 Peshka";;
"pe-2-83_0";"NKVD Central Design Bureau №29 | Pe-2-83 Peshka";;
"pe-2-83_1";"Pe-2-83 Peshka";;
"pe-2-83_2";"Pe-2-83";;

"pe-2-110_shop";"Pe-2-110 Peshka";;
"pe-2-110_0";"NKVD Central Design Bureau №29 | Pe-2-110 Peshka";;
"pe-2-110_1";"Pe-2-110 Peshka";;
"pe-2-110_2";"Pe-2-110";;

"pe-2-205_shop";"Pe-2-205 Peshka";;
"pe-2-205_0";"NKVD Central Design Bureau №29 | Pe-2-205 Peshka";;
"pe-2-205_1";"Pe-2-205 Peshka";;
"pe-2-205_2";"Pe-2-205";;

"pe-2-359_shop";"Pe-2-359 Peshka";;
"pe-2-359_0";"NKVD Central Design Bureau №29 | Pe-2-359 Peshka";;
"pe-2-359_1";"Pe-2-359 Peshka";;
"pe-2-359_2";"Pe-2-359";;

"pe-2_shop";"Pe-2 Peshka";;
"pe-2_0";"NKVD Central Design Bureau №29 | Pe-2 Peshka";;
"pe-2_1";"Pe-2 Peshka";;
"pe-2_2";"Pe-2";;

"pe-8_m82_shop";"Pe-8";;
"pe-8_m82_0";"NKVD Central Design Bureau №29 | Pe-8";;
"pe-8_m82_1";"Pe-8";;
"pe-8_m82_2";"Pe-8";;

"er-2_ach30b_late_shop";"Yer-2/ACh-30B (1941)";;
"er-2_ach30b_late_0";"OKB-240 ""Yermolaev"" | Yer-2 | ACh-30B Engines | 1941 Model";;
"er-2_ach30b_late_1";"Yer-2/ACh-30B (1941)";;
"er-2_ach30b_late_2";"Yer-2 (1941)";;

"er-2_ach30b_early_shop";"Yer-2/ACh-30B (1940)";;
"er-2_ach30b_early_0";"OKB-240 ""Yermolaev"" | Yer-2 | ACh-30B Engines | 1940 Model";;
"er-2_ach30b_early_1";"Yer-2/ACh-30B (1940)";;
"er-2_ach30b_early_2";"Yer-2 (1940)";;

"yak-9t_shop";"Yak-9T Ostronosyi";;
"yak-9t_0";"OKB-115 ""Yakovlev"" | Yak-9T ""Ostronosyi""";;
"yak-9t_1";"Yak-9T Ostronosyi";;
"yak-9t_2";"Yak-9T";;

"yak-9k_shop";"Yak-9K Ostronosyi";;
"yak-9k_0";"OKB-115 ""Yakovlev"" | Yak-9K ""Ostronosyi""";;
"yak-9k_1";"Yak-9K Ostronosyi";;
"yak-9k_2";"Yak-9K";;

"yak-3_shop";"Yak-3 Ostronosyi (1944)";;
"yak-3_0";"OKB-115 ""Yakovlev"" | Yak-3 ""Ostronosyi"" (1944)";;
"yak-3_1";"Yak-3 Ostronosyi (1944)";;
"yak-3_2";"Yak-3 (1944)";;

"yak-9u_shop";"Yak-9U Ostronosyi";;
"yak-9u_0";"OKB-115 ""Yakovlev"" | Yak-9U ""Ostronosyi""";;
"yak-9u_1";"Yak-9U Ostronosyi";;
"yak-9u_2";"Yak-9U";;

"su-8_shop";"Su-8 DDBSh";;
"su-8_0";"OKB-51 ""Sukhoi"" | Su-8 | Dvukhmotornyy Dvukhmestnyy Bronirovannyy Shturmovik";;
"su-8_1";"Su-8 DDBSh";;
"su-8_2";"Su-8";;

"be_6_shop";"Be-6 Madge";;
"be_6_0";"OKB-49 ""Beriev"" | Be-6 Madge";;
"be_6_1";"Be-6 Madge";;
"be_6_2";"Be-6";;

